Lang_40 | StringUtils_12.java | OCHIAI: -1.0
Lang_40 | StringUtils_39.java | OCHIAI: -1.0
Lang_40 | StringUtils_52.java | OCHIAI: 0.0
Lang_40 | StringUtils_66.java | OCHIAI: 0.0
Lang_40 | StringUtils_35.java | OCHIAI: -1.0
Lang_40 | StringUtils_3.java | OCHIAI: 0.0
Lang_40 | StringUtils_11.java | OCHIAI: -1.0
Lang_40 | StringUtils_5.java | OCHIAI: 0.0
Lang_40 | StringUtils_21.java | OCHIAI: 0.0
Lang_40 | StringUtils_49.java | OCHIAI: -1.0
Lang_40 | StringUtils_27.java | OCHIAI: -1.0
Lang_40 | StringUtils_2.java | OCHIAI: -1.0
Lang_40 | StringUtils_36.java | OCHIAI: 0.0
Lang_40 | StringUtils_14.java | OCHIAI: 0.0
Lang_40 | StringUtils_68.java | OCHIAI: -1.0
Lang_40 | StringUtils_6.java | OCHIAI: -1.0
Lang_40 | StringUtils_9.java | OCHIAI: 0.0
Lang_40 | StringUtils_22.java | OCHIAI: -1.0
Lang_40 | StringUtils_56.java | OCHIAI: 0.0
Lang_40 | StringUtils_40.java | OCHIAI: -1.0
Lang_40 | StringUtils_8.java | OCHIAI: -1.0
Lang_40 | StringUtils_19.java | OCHIAI: -1.0
Lang_40 | StringUtils_28.java | OCHIAI: 0.0
Lang_40 | StringUtils_10.java | OCHIAI: -1.0
Lang_40 | StringUtils_64.java | OCHIAI: -1.0
Lang_40 | StringUtils_18.java | OCHIAI: -1.0
Lang_40 | StringUtils_45.java | OCHIAI: 0.0
Lang_40 | StringUtils_47.java | OCHIAI: -1.0
Lang_40 | StringUtils_26.java | OCHIAI: 0.0
Lang_40 | StringUtils_46.java | OCHIAI: -1.0
Lang_40 | StringUtils_15.java | OCHIAI: 0.0
Lang_40 | StringUtils_63.java | OCHIAI: 0.0
Lang_40 | StringUtils_13.java | OCHIAI: 0.0
Lang_40 | StringUtils_67.java | OCHIAI: -1.0
